"","Remark","Week.dates","measurement.week","Treatment","Season","CO2flux","CH4flux","mgCH4","averageTemp","MeanSoilMoisture","MEANpH","meanGCC","canopyheight","EvapotranspirationRate","graminoid.cover","shrub.cover","forb.cover","bryophyte.cover","CanopyExtent","row_id","PC1","PC2"
"1",1,"June 11 - June 18",5,"Extended","Late summer",NA,NA,NA,10,8.05,7.3,0.331982877,"18.6",1.2,0.22,0.22,0.13,0.12,0.69,1,-0.0327343155004865,-0.0952221852866107
"2",2,"June 11 - June 18",5,"Heatwave","Late summer",0.98238772,-1.32e-07,-0.000183,16,7.4,7.15,0.319340025,"20.6",1.2,0.11,0.09,0.25,0.05,0.5,2,0.234484456370249,-0.419341820835927
"3",3,"June 11 - June 18",5,"Heatwave","Late summer",0.693681922,-1.96e-07,-0.000271,16,8.9,7.1,0.31803988,"10.1",1.6,0.03,0.1,0.03,0.08,0.24,3,0.226037425889811,0.0744788152218892
"4",4,"June 11 - June 18",5,"Control","Late summer",NA,NA,NA,10,8.25,7,0.328690208,"21.8",1.4,0.15,0.23,0,0.01,0.39,4,-0.00851644497186884,0.244913065291308
"5",5,"June 11 - June 18",5,"Control","Late summer",NA,NA,NA,10,9.4,7.15,0.321237073,"13.7",1.2,0.06,0.22,0.12,0.02,0.42,5,0.198747452838878,0.0993289196983831
"6",6,"June 11 - June 18",5,"Extended","Late summer",0.131653451,-4.66e-07,-0.000646,10,8.75,7.3,0.322765119,"11.8",1.6,0.15,0.18,0.12,0.05,0.5,6,0.0752857038752599,-0.0662218621297817
"7",7,"June 11 - June 18",5,"Extended","Late summer",1.430385445,-1.3e-07,-0.000181,10,7.7,7.1,0.326311135,"42.4",1.6,0.45,0.12,0,0.02,0.59,7,-0.429025283722634,-0.25328444379817
"8",8,"June 11 - June 18",5,"Extended","Late summer",NA,NA,NA,10,9.15,7.05,0.327453281,"29.7",1.6,0.25,0.2,0.03,0.07,0.55,8,-0.131503883432286,0.0280083502367721
"9",9,"June 11 - June 18",5,"Control","Late summer",NA,NA,NA,10,7.3,7.05,0.317249472,"6.2",1.6,0.1,0.08,0.15,0.01,0.34,9,0.19337767882107,-0.239466480844346
"10",10,"June 11 - June 18",5,"Extended","Late summer",NA,NA,NA,10,7.95,7.1,0.318261978,"9.1",1.6,0.07,0.21,0.14,0.07,0.49,10,0.199442431557889,0.028266550783719
"11",11,"June 11 - June 18",5,"Heatwave","Late summer",0.463241593,-3.19e-07,-0.000442,16,9.95,7.05,0.315431961,"25.6",1.4,0.17,0.17,0,0.01,0.35,11,-0.0223879337485368,0.119555638393931
"12",12,"June 11 - June 18",5,"Heatwave","Late summer",0.876998957,-3.14e-07,-0.000435,16,10,7.25,0.33380445,"14.4",1.8,0.13,0.28,0.02,0.04,0.47,12,0.0204673412341406,0.312184173237563
"13",13,"June 11 - June 18",5,"Heatwave","Late summer",1.798470178,-1.18e-07,-0.000164,16,8.4,7.3,0.319902281,"19.7",1.4,0.18,0.2,0.01,0.02,0.41,13,-0.0394202838360643,0.14238250061849
"14",14,"June 11 - June 18",5,"Control","Late summer",NA,NA,NA,10,7.75,7.15,0.329836095,"22.6",1.6,0.3,0.15,0.04,0.03,0.52,14,-0.188543027259217,-0.12272862946269
"15",15,"June 11 - June 18",5,"Control","Late summer",1.450364585,-8.73e-08,-0.000121,10,7.2,7.05,0.331774769,"35.2",1.6,0.32,0.22,0.01,0.04,0.59,15,-0.254409047562861,0.0326453057287427
"16",16,"June 11 - June 18",5,"Extended","Late summer",NA,NA,NA,10,9.1,7.05,0.312078136,"24.6",1.4,0.08,0.06,0.01,0.02,0.17,16,0.148422472013068,-0.00143362625796044
"17",17,"June 11 - June 18",5,"Control","Late summer",NA,NA,NA,10,10,7.05,0.316412604,"16.3",1.4,0.08,0.13,0.03,0.04,0.28,17,0.141693500610793,0.0820089726608825
"18",18,"June 11 - June 18",5,"Extended","Late summer",NA,NA,NA,10,8.9,7.05,0.320270578,"23.6",1.6,0.27,0.2,0,0.02,0.49,18,-0.180310876768385,0.0693017159438261
"19",19,"June 11 - June 18",5,"Heatwave","Late summer",1.034548516,-7.43e-08,-0.000103,16,8.35,7.1,0.316314856,"43.8",1.4,0.18,0.1,0.1,0.02,0.4,19,0.0393661732809165,-0.196171683524725
"20",20,"June 11 - June 18",5,"Control","Late summer",NA,NA,NA,10,9,7.15,0.323433698,"18.4",1.4,0.27,0.2,0.06,0.09,0.62,20,-0.143649498153699,-0.0495776414815046
"21",21,"June 11 - June 18",5,"Heatwave","Late summer",1.373873228,-3.16e-08,-4.38e-05,16,8.7,6.95,0.324364773,"19",1.8,0.18,0.25,0.02,0.03,0.48,21,-0.0468240415360354,0.210374365806207
